ID,Face_Shape,TrialNum,Face_Set,Morph_Type,Pic_Number,Dom
520,2,6,2,2,75,5
520,2,7,1,1,521,2
520,2,8,2,2,142,3
520,2,9,2,1,60,5
520,2,10,1,2,521,2
520,2,11,1,1,628,4
520,2,12,2,2,80,4
520,2,13,1,2,512,
520,2,14,1,2,568,5
520,2,15,1,2,563,4
520,2,16,2,1,7,4
520,2,17,2,2,20,5
520,2,18,2,1,81,5
520,2,19,1,1,529,3
520,2,20,2,1,41,6
520,2,21,2,1,150,2
520,2,22,1,2,592,6
520,2,23,1,1,673,3
520,2,24,2,1,33,4
520,2,25,1,1,522,3
520,2,26,2,2,162,4
520,2,27,1,2,522,6
520,2,28,1,2,631,5
520,2,29,1,1,512,3
520,2,30,1,1,638,2
520,2,31,2,2,42,5
520,2,32,2,2,26,4
520,2,33,1,2,641,3
520,2,34,2,1,100,6
520,2,35,2,1,91,4
520,2,36,2,1,38,3
520,2,37,2,2,33,6
520,2,38,1,1,640,3
520,2,39,1,2,569,3
520,2,40,2,2,13,5
521,2,1,2,2,91,4
521,2,2,1,1,625,5
521,2,3,1,2,601,5
521,2,4,2,2,52,5
521,2,5,2,2,11,5
521,2,6,1,2,603,6
521,2,7,1,2,521,5
521,2,8,2,1,150,3
521,2,9,2,1,57,5
521,2,10,2,1,68,5
521,2,11,1,1,518,4
521,2,12,2,2,60,6
521,2,13,2,1,69,5
521,2,14,1,1,630,3
521,2,15,2,2,48,4
521,2,16,2,1,131,3
521,2,17,2,2,141,5
521,2,18,1,1,541,5
521,2,19,2,1,20,5
521,2,20,2,1,110,3
521,2,21,1,2,531,6
521,2,22,2,2,142,3
521,2,23,2,1,60,3
521,2,24,1,2,604,3
521,2,25,1,1,621,3
521,2,26,1,2,605,5
521,2,27,2,1,76,3
521,2,28,1,1,521,5
521,2,29,1,1,672,5
521,2,30,2,2,71,4
521,2,31,1,2,628,3
521,2,32,2,1,86,3
521,2,33,1,1,568,3
521,2,34,1,1,504,3
521,2,35,2,2,8,5
521,2,36,1,2,518,2
521,2,37,2,2,75,5
521,2,38,1,2,632,4
521,2,39,1,2,638,3
521,2,40,1,1,632,4
522,2,1,1,2,522,5
522,2,2,2,2,100,3
522,2,3,1,1,623,4
522,2,4,2,2,62,2
522,2,5,2,2,80,3
522,2,6,1,2,625,2
522,2,7,1,1,621,
522,2,8,1,1,533,3
522,2,9,2,2,76,1
522,2,10,2,2,110,
522,2,11,2,1,26,
522,2,12,2,2,52,2
522,2,13,1,2,605,3
522,2,14,1,1,630,1
522,2,15,1,2,563,2
522,2,16,2,1,106,1
522,2,17,2,2,8,5
522,2,18,1,2,643,3
522,2,19,1,1,563,1
522,2,20,2,1,76,2
522,2,21,1,2,640,5
522,2,22,1,1,617,2
522,2,23,1,1,592,5
522,2,24,1,2,521,4
522,2,25,2,2,11,5
522,2,26,1,2,526,3
522,2,27,1,1,643,3
522,2,28,2,1,162,1
522,2,29,1,1,541,5
522,2,30,2,1,37,4
522,2,31,2,1,11,3
522,2,32,1,2,630,
522,2,33,2,1,5,2
522,2,34,2,1,52,5
522,2,35,1,2,533,6
522,2,36,2,1,109,2
522,2,37,1,1,641,1
522,2,38,2,2,13,3
522,2,39,2,1,131,2
522,2,40,2,2,9,2
523,2,1,2,1,47,2
523,2,2,2,2,96,1
523,2,3,1,2,563,1
523,2,4,1,1,569,2
523,2,5,2,2,41,5
523,2,6,2,1,110,2
523,2,7,1,2,673,6
523,2,8,1,1,630,2
523,2,9,2,2,47,6
523,2,10,2,1,43,3
523,2,11,1,1,522,3
523,2,12,1,2,631,2
523,2,13,1,2,608,7
523,2,14,1,1,673,7
523,2,15,1,1,526,3
523,2,16,2,1,68,2
523,2,17,1,1,518,2
523,2,18,1,2,568,2
523,2,19,2,1,63,4
523,2,20,1,1,504,1
523,2,21,2,1,26,5
523,2,22,2,2,109,2
523,2,23,2,2,100,2
523,2,24,1,2,521,2
523,2,25,2,2,40,2
523,2,26,2,2,68,2
523,2,27,2,2,81,3
523,2,28,1,2,522,6
523,2,29,2,1,100,2
523,2,30,2,1,45,4
523,2,31,1,2,640,7
523,2,32,2,2,111,2
523,2,33,1,1,623,2
523,2,34,2,1,41,6
523,2,35,2,2,30,7
523,2,36,1,2,603,5
523,2,37,1,1,568,3
523,2,38,1,2,512,6
523,2,39,1,1,512,2
523,2,40,2,1,9,1
524,2,1,2,1,48,6
524,2,2,2,1,98,4
524,2,3,2,2,38,5
524,2,4,2,2,96,6
524,2,5,1,1,621,5
524,2,6,1,2,672,4
524,2,7,2,2,11,5
524,2,8,2,2,153,4
524,2,9,1,1,604,5
524,2,10,1,1,673,4
524,2,11,2,2,45,5
524,2,12,1,1,617,4
524,2,13,2,1,76,5
524,2,14,2,2,162,4
524,2,15,2,1,8,5
524,2,16,1,2,601,4
524,2,17,1,2,640,3
524,2,18,1,1,521,3
524,2,19,2,2,68,4
524,2,20,1,2,512,4
524,2,21,1,1,569,3
524,2,22,2,1,111,4
524,2,23,2,2,26,4
524,2,24,2,1,109,4
524,2,25,1,2,617,4
524,2,26,1,2,526,5
524,2,27,2,1,60,4
524,2,28,1,2,673,3
524,2,29,2,2,9,4
524,2,30,2,1,37,4
524,2,31,1,1,504,4
524,2,32,1,2,531,5
524,2,33,2,1,80,4
524,2,34,2,2,20,5
524,2,35,1,2,541,5
524,2,36,1,2,521,3
524,2,37,2,1,73,3
524,2,38,1,1,632,
524,2,39,1,1,563,3
524,2,40,1,1,640,3
525,2,1,1,2,518,4
525,2,2,1,1,526,2
525,2,3,1,2,512,6
525,2,4,2,1,113,4
525,2,5,2,1,153,6
525,2,6,2,1,71,5
525,2,7,1,1,531,4
525,2,8,2,2,66,4
525,2,9,1,1,601,5
525,2,10,1,2,521,5
525,2,11,1,1,604,4
525,2,12,2,2,60,5
525,2,13,1,1,672,3
525,2,14,2,1,69,6
525,2,15,1,1,673,6
525,2,16,2,2,131,6
525,2,17,1,1,632,4
525,2,18,2,2,20,2
525,2,19,2,2,110,4
525,2,20,2,1,37,3
525,2,21,1,2,529,5
525,2,22,1,2,628,4
525,2,23,1,2,632,4
525,2,24,2,1,30,4
525,2,25,1,2,623,3
525,2,26,2,2,41,6
525,2,27,1,2,621,4
525,2,28,1,2,673,6
525,2,29,2,2,98,3
525,2,30,2,2,38,3
525,2,31,1,2,563,4
525,2,32,1,1,521,3
525,2,33,2,1,63,1
525,2,34,2,1,11,6
525,2,35,2,2,48,6
525,2,36,2,1,38,4
525,2,37,2,1,86,3
525,2,38,1,1,621,4
525,2,39,1,1,623,4
525,2,40,2,2,16,4
527,2,1,2,2,162,1
527,2,2,1,2,632,1
527,2,3,2,2,49,3
527,2,4,2,2,20,3
527,2,5,2,2,73,2
527,2,6,2,1,45,4
527,2,7,1,2,569,2
527,2,8,1,1,541,4
527,2,9,1,1,638,4
527,2,10,1,1,531,5
527,2,11,2,2,47,5
527,2,12,1,2,640,4
527,2,13,1,1,592,3
527,2,14,2,1,42,3
527,2,15,1,2,529,4
527,2,16,1,1,617,4
527,2,17,1,2,623,4
527,2,18,2,2,69,5
527,2,19,2,1,81,3
527,2,20,1,1,569,2
527,2,21,1,2,630,3
527,2,22,1,1,625,4
527,2,23,1,2,672,3
527,2,24,2,1,33,4
527,2,25,2,2,16,4
527,2,26,2,1,71,5
527,2,27,1,2,605,5
527,2,28,2,2,63,3
527,2,29,2,1,49,2
527,2,30,2,1,11,1
527,2,31,2,1,63,2
527,2,32,2,2,80,5
527,2,33,1,2,512,5
527,2,34,2,1,40,3
527,2,35,1,1,632,5
527,2,36,2,1,47,4
527,2,37,1,1,521,5
527,2,38,1,1,603,2
527,2,39,1,2,673,6
527,2,40,2,2,111,4
528,2,1,1,2,541,3
528,2,2,1,1,604,1
528,2,3,1,1,518,1
